	tweet	user	user_statuses_count	user_followers	user_verified	fav_count	rt_count	date
68	RT @vladtenev: We cannot control, however, the lightning-fast spread of information and misinformation that takes place on social media, an…	Sandra	323383	18124	False	0	55	2021-01-28 23:59:39
69	@stocktalkweekly @RobinhoodApp @vladtenev @CNBC I feel like puking 🤢.	Kio	35	9	False	2	0	2021-01-28 23:59:39
70	@NJDEV89 @vladtenev Absolutely ... are you guilty of fraud and corruption ?	Joe Foley	119	10	False	0	0	2021-01-28 23:59:36
71	@vladtenev Thank you for creating the Robinhood platform. Most of us realize why you did what you did. These wall street assholes and reporters / spokes people are doing nothing but trying to bring down the retail investor. The game has changed thanks to you!!!!	Jeremy Harrison	6	0	False	0	0	2021-01-28 23:59:36
72	RT @imthedronelord: @Jason @robinhood @vladtenev @CNBC @carlquintanilla @jonfortt @rubenharris I guess u did sell ur soul https://t.co/ICoC…	UNDERMINE VC	562	75	False	0	3	2021-01-28 23:59:36
73	@vladtenev Shame on you!	irz	5	1	False	0	0	2021-01-28 23:59:35
74	@vladtenev @RobinhoodApp RATIO’D	Krugg “Shit my Stillsuit” Nguyen	4866	93	False	0	0	2021-01-28 23:59:35
75	RT @vladtenev: We stand in support of you, our customers. Democratizing finance for all means giving more people access, not less. We’ll ke…	Sandra	323383	18124	False	0	73	2021-01-28 23:59:35
76	@vladtenev is botching this interview on Fast Money.   Horrible responses.  No answers. Just back pedaling and no justifications.  We’re literally watching the death of @RobinhoodApp live.	BB	7996	730	False	0	0	2021-01-28 23:59:35
77	RT @stoolpresidente: Hey @vladtenev I hope you go to jail	Debacle ENT	5460	4254	False	0	9072	2021-01-28 23:59:35
78	This @vladtenev character is in way over his head. Also, let’s not trust people with Die Hard villain names and haircuts with our money folks! #RobinHood #gamestonk	Daniel C. Zotos	2306	843	False	0	0	2021-01-28 23:59:34
79	"RT @yashar: 1. The CEO and co-founder of Robinhood @vladtenev is on CNBC right now with @andrewrsorkin. 

He denies that they have a liquid…"	BetterWorld2@Socrates091	17835	1494	False	0	72	2021-01-28 23:59:34
80	@blakeicabone @wamuren @vladtenev @RobinhoodApp @AskRobinhood Just wrote my response - I bought AMC this morning before the block then when I saw the block even sold some, so if there is a lawsuit I could put my name to it. But if the regulation justifies the move, I will defend the company.	Landon	5591	1749	False	0	0	2021-01-28 23:59:34
81	Sweet baby jesus @vladtenev - we don't care that you're #1 on the app store.  Answer the question about drawing on your credit lines.	🐧🐧🐧	314	79	False	0	0	2021-01-28 23:59:31
82	@vladtenev Robinhood Exec be out here acting like Prince John.	Leslie Courtney	5532	97	False	0	0	2021-01-28 23:59:30
83	@CNBCnow @vladtenev YOU LIE. If there wasn’t a liquidity problem you wouldn’t have halted buying!!!	Dustin Carver	2522	95	False	6	0	2021-01-28 23:59:30
84	@vladtenev You fools	Jacob riddle	260	14	False	0	0	2021-01-28 23:59:30
85	Dang @RobinhoodApp @vladtenev #RobinHood take a look @ this sly ass criminal 🤦‍♂️ 🤦‍♂️ 🤦 https://t.co/XTmOWXkF7D	cali cali	127	5	False	0	0	2021-01-28 23:59:30
86	@vladtenev you’re going to pay crooked ass nosed pos	Mitchell Hutchison	60	11	False	0	0	2021-01-28 23:59:30
87	RT @TheKingof_Scots: @Jason @robinhood @vladtenev @bprafulkumar Is Vlad serious? they can sell but can’t  buy, apparently not understanding…	✝️LENAYE HEAVEN	52608	7074	False	0	2	2021-01-28 23:59:29
88	"RT @vladtenev: You can read more on our decision and what we stand for on our company blog. 

https://t.co/PbVoNVEOWH"	Sandra	323383	18124	False	0	73	2021-01-28 23:59:29
89	@Jason @robinhood @vladtenev @bprafulkumar Ok but did you invest in them?	Mel Chen	5328	259	False	0	0	2021-01-28 23:59:29
90	@vladtenev You belong in jail!!!!	Wassim Zoghlami	945	1151	False	0	0	2021-01-28 23:59:29
91	RT @NoStatism: @vladtenev Have fun in prison	s0mdork	23621	307	False	0	55	2021-01-28 23:59:29
92	@vladtenev fuck you. 🖕🏻	Dreu	11913	890	False	0	0	2021-01-28 23:59:28
93	@als18a1 @vladtenev @RobinhoodApp Buy doge Elon just tweeted #doge but it now gonna blow up@GME at https://t.co/6ADKFR577Y	DOGE Chairwomen 🚀📈📊📉	7493	5170	False	0	0	2021-01-28 23:59:28
94	@vladtenev @RobinhoodApp @vladtenev I want to thank you for the opportunity for a class action lawsuit. Oh yeah. Fuck you.	@therealKrazyKarl	32	0	False	0	0	2021-01-28 23:59:28
95	@SpacTraderinTra @vladtenev Had certain SEC thresholds but it wasn’t a cash issue!	Jus B	21274	846	False	1	0	2021-01-28 23:59:28
96	Listening to @RobinhoodApp CEO @vladtenev on @CNBC try to explain what the hell happened today. He is going to need to get a lot better before he gets grilled by @AyannaPressley and crew at the Capitol.	Josh Dawson	6735	1380	False	0	0	2021-01-28 23:59:28
97	RT @running42841834: @OSUFAN4U2NV @vladtenev DID HE JUST DELETE THAT. 😂	Coltyn	30727	167	False	0	34	2021-01-28 23:59:28
98	Yo @vladtenev on @cnbc sounding exactly how I used to soung lying to my parents when I was a kid.	D	23993	8658	False	14	0	2021-01-28 23:59:28
99	@stocktalkweekly @RobinhoodApp @vladtenev @CNBC You’re telling me the “thousands of other stocks” he kept emphasising didn’t achieve that?	Jay	5697	229	False	1	0	2021-01-28 23:59:27
100	@LtDickDowling @vladtenev what hurt me was the Clearing House going to strict margining after that. no pooling spreads.	U.S. Route 41	216666	2862	False	0	0	2021-01-28 23:59:27
101	@rchappy628 @BonaFideAnna @vladtenev When you have a good reason for something, especially involving a perceived conflict of interest, you lead with that reason.	Douglas Shell	445	4	False	0	0	2021-01-28 23:59:27
102	@TradesTeddy @vladtenev Get it started....#cancelvladwhatshisnutts	kman	1662	103	False	0	0	2021-01-28 23:59:26
