	tweet	user	user_statuses_count	user_followers	user_verified	fav_count	rt_count	date
100	"cw // pedophilia , bullying , ship discourse , suicide &amp; death threats 

typical anti threats: a thread 

pedo/phile 
go to hell
get therapy 
i’m calling the cops
disgusting 
kys 
freak 
weirdo
do us all a favor and die

add more, that was what i heard/seen but not limited."	🔞ceo of okuyasu 💎💲🐬(last semester 🥲)	7057	155	False	0	0	2021-02-02 18:41:34
101	@Jonatha69166669 @adrianjclarke @Arsenal Basketball 😂😂😂😂😂😂😂 Go kys	Engji	659	26	False	0	0	2021-02-02 18:40:55
102	RT @yeojinthinker: you need to kys — and u need to MAMAR MINHA R0L4 SUA PUT4  https://t.co/NsRwXKvt0m	ryan	29083	816	False	0	13	2021-02-02 18:40:54
103	@TBELunaTic @Revex Your insults are so dead 😂 you could at least throw in a “kys” but no. Let down honestly.	Callum Hall	90	6	False	0	0	2021-02-02 18:40:45
104	"Oh, of course, it's a real thing because neurodivergent people use it lol

Also, idgaf if you tell me to ""kys"", it's the internet https://t.co/ckChk0c4ID"	Media Madness Election Season ⭐️🟥🌹🟩🍀🟢❤️🎗️🍎	3212	239	False	3	0	2021-02-02 18:39:02
105	"RT @hellom3lody: Dudes ghost u then B lik """"sry i was busy🥺!"""" Idc either,,respond or kys"	emmy	223	21	False	0	4	2021-02-02 18:37:53
106	@kys_rez wym thats extra flavor stupid and its free! god people like you i swear	Chiggward	2	2	False	0	0	2021-02-02 18:37:50
107	RT @noticemisenpaii: it’s always ‘i wanna marry u’ never ‘here’s $300 thanks for not kys today’😞	z❁	1782	68	False	0	4	2021-02-02 18:37:16
108	RT @Chezneey_: I cringe so hard when I think about how I used to be. Not loving yourself has you accepting and doing the dumbest things	iamAIRWRECKA. ☺️	72243	1283	False	0	5561	2021-02-02 18:37:14
109	A guy told me to kys so i told him hes an idiot and reported him and i get chat banned wtf????????	Tsuiseki	1640	39	False	0	0	2021-02-02 18:36:02
110	neopronouns are something neurodivergent people use??, now if i told you to kÿš i would be biphobic right https://t.co/QKlv0iYOb3 https://t.co/Z0AAuiXhiN	## venti `: 📺 one piece	20676	3042	False	10	0	2021-02-02 18:35:27
111	@faiznutd @kys_pal Nah semado just shit	Aaron Wan-Bisska Junior	85	5	False	0	0	2021-02-02 18:35:26
112	@faiznutd he’s so shit most wolves fans are finally seeing the light that he’s ass	I	4201	16	False	1	0	2021-02-02 18:35:16
113	@kys_pal double nutmeg	Faizan	21362	5773	False	0	0	2021-02-02 18:34:25
114	RT @Erosistired: kys now — yeah no I won’t even respond to these anymore just so you know. dm me when you want to threaten me xx  https://t…	soom🌞 ᴴᴼᴾᴱ⁷	5578	231	False	0	1	2021-02-02 18:33:28
115	@faiznutd na it was just semedo being complete ASS	I	4201	16	False	1	0	2021-02-02 18:33:26
116	@6undys ain’t he 3 star 3 star tho	I	4201	16	False	0	0	2021-02-02 18:32:54
117	bring kys back https://t.co/ETHvjqahlh	sebastián	3684	62	False	0	0	2021-02-02 18:31:37
118	"RT @onednotfound: tw // death threats , suicide
-
-
-
-
pls dont ever tell someone to kys you have no idea how harmful it can be especially…"	mean lesbian	196	19	False	0	6	2021-02-02 18:31:00
119	@NevyVFX Where is i care please carefully kys?	Reformed Vlad	3507	376	False	0	0	2021-02-02 18:30:13
120	kys now — yeah no I won’t even respond to these anymore just so you know. dm me when you want to threaten me xx  https://t.co/zyKgysgQiA	ًER☻S☀️	22939	5299	False	1	1	2021-02-02 18:29:13
121	"RT @onednotfound: tw // death threats , suicide
-
-
-
-
pls dont ever tell someone to kys you have no idea how harmful it can be especially…"	⁎̩͙ ⁑̩͙̩͙ ⁂̩̩͙͙ nadja ⁂̩̩͙͙ ⁑̩͙̩͙ ⁎̩͙	1591	562	False	0	6	2021-02-02 18:26:11
122	RT @KHSAA: One of the greatest lessons of high school sports is the power of teamwork. And the same is true when it comes to high school of…	KYStandardSports	6088	1751	False	0	7	2021-02-02 18:24:33
123	"RT @onednotfound: tw // death threats , suicide
-
-
-
-
pls dont ever tell someone to kys you have no idea how harmful it can be especially…"	river²⁸ | #TCOE	6733	138	False	0	6	2021-02-02 18:22:26
124	"RT @hellom3lody: Dudes ghost u then B lik """"sry i was busy🥺!"""" Idc either,,respond or kys"	belle	1174	147	False	0	4	2021-02-02 18:22:20
125	If you eat FUCKIN COLESLAW literally stfu for the rest of your life. Never speak again kys‼️	LuhWeezy	215	20	False	0	1	2021-02-02 18:20:03
